year,attendance,note
2000,501251,
2001,543834,
2002,518248,
2003,512225,
2004,521691, 
2005,543873,
2006,550550,
2007,554858,
2008,605735,
2009,603160,
2010,653860,
2011,651127,
2012,686006,
2013,684457,
2014,643280,
2015,703899,
2016,720363,
2017,728763,
2018,743667,
2019,796435,
2020,812174,
2021,130374,COVID-19 capacity restrictions (30-50%); crowds allowed on only 9 of 14 days
2022,346468,COVID-19 capacity restrictions (50%)
2023,839192,
2024,1020763,
2025,1102303,
